x0000,y0000,Распределение Пуассона (по выборочному среднему)_x,Распределение Пуассона (по выборочному среднему)_y,Распределение Пуассона (по выборочному СКО)_x,Распределение Пуассона (по выборочному СКО)_y,Распределение Гаусса_x,Распределение Гаусса_y
-0.5,0.,0.,0.0000000000,0.,0.0000000000,0.,0.0000000000
0.5,0.,1.,0.0000000000,1.,0.0000000000,1.,0.0000000000
1.5,0.,2.,0.0000000000,2.,0.0000000000,2.,0.0000000000
2.5,0.,3.,0.0000000000,3.,0.0000000000,3.,0.0000000000
3.5,0.,4.,0.0000000000,4.,0.0000000000,4.,0.0000000000
4.5,0.,5.,0.0000000000,5.,0.0000000000,5.,0.0000000000
5.5,0.,6.,0.0000000000,6.,0.0000000000,6.,0.0000000000
6.5,0.,7.,0.0000000000,7.,0.0000000000,7.,0.0000000000
7.5,0.,8.,0.0000000000,8.,0.0000000000,8.,0.0000000000
8.5,0.,9.,0.0000000000,9.,0.0000000000,9.,0.0000000000
9.5,0.,10.,0.0000000000,10.,0.0000000000,10.,0.0000000000
10.5,0.,11.,0.0000000000,11.,0.0000000000,11.,0.0000000000
11.5,0.,12.,0.0000000000,12.,0.0000000000,12.,0.0000000000
12.5,0.,13.,0.0000000000,13.,0.0000000000,13.,0.0000000000
13.5,0.,14.,0.0000000000,14.,0.0000000000,14.,0.0000000000
14.5,0.,15.,0.0000000000,15.,0.0000000000,15.,0.0000000000
15.5,0.,16.,0.0000000000,16.,0.0000000000,16.,0.0000000000
16.5,0.,17.,0.0000000000,17.,0.0000000000,17.,0.0000000000
17.5,0.,18.,0.0000000000,18.,0.0000000000,18.,0.0000000000
18.5,0.,19.,0.0000000000,19.,0.0000000000,19.,0.0000000000
19.5,0.,20.,0.0000000000,20.,0.0000000000,20.,0.0000000000
20.5,0.,21.,0.0000000000,21.,0.0000000000,21.,0.0000000000
21.5,0.,22.,0.0000000000,22.,0.0000000000,22.,0.0000000000
22.5,0.,23.,0.0000000000,23.,0.0000000000,23.,0.0000000000
23.5,0.,24.,0.0000000000,24.,0.0000000000,24.,0.0000000000
24.5,0.,25.,0.0000000000,25.,0.0000000000,25.,0.0000000000
25.5,0.,26.,0.0000000000,26.,0.0000000000,26.,0.0000000000
26.5,0.,27.,0.0000000000,27.,0.0000000000,27.,0.0000000000
27.5,0.,28.,0.0000000000,28.,0.0000000000,28.,0.0000000000
28.5,0.,29.,0.0000000000,29.,0.0000000000,29.,0.0000000000
29.5,0.,30.,0.0000000000,30.,0.0000000000,30.,0.0000000000
30.5,0.,31.,0.0000000000,31.,0.0000000000,31.,0.0000000000
31.5,0.,32.,0.0000000000,32.,0.0000000000,32.,0.0000000000
32.5,0.,33.,0.0000000000,33.,0.0000000000,33.,0.0000000000
33.5,0.,34.,0.0000000000,34.,0.0000000000,34.,0.0000000000
34.5,0.,35.,0.0000000000,35.,0.0000000000,35.,0.0000000000
35.5,0.,36.,0.0000000000,36.,0.0000000000,36.,0.0000000001
36.5,0.,37.,0.0000000000,37.,0.0000000000,37.,0.0000000001
37.5,0.,38.,0.0000000000,38.,0.0000000000,38.,0.0000000002
38.5,0.,39.,0.0000000000,39.,0.0000000000,39.,0.0000000004
39.5,0.,40.,0.0000000000,40.,0.0000000000,40.,0.0000000007
40.5,0.,41.,0.0000000000,41.,0.0000000000,41.,0.0000000013
41.5,0.,42.,0.0000000000,42.,0.0000000000,42.,0.0000000024
42.5,0.,43.,0.0000000001,43.,0.0000000001,43.,0.0000000043
43.5,0.,44.,0.0000000002,44.,0.0000000002,44.,0.0000000075
44.5,0.,45.,0.0000000004,45.,0.0000000003,45.,0.0000000130
45.5,0.,46.,0.0000000008,46.,0.0000000008,46.,0.0000000224
46.5,0.,47.,0.0000000018,47.,0.0000000016,47.,0.0000000381
47.5,0.,48.,0.0000000037,48.,0.0000000033,48.,0.0000000642
48.5,0.,49.,0.0000000075,49.,0.0000000068,49.,0.0000001072
49.5,0.,50.,0.0000000149,50.,0.0000000135,50.,0.0000001771
50.5,0.,51.,0.0000000291,51.,0.0000000264,51.,0.0000002896
51.5,0.,52.,0.0000000558,52.,0.0000000508,52.,0.0000004690
52.5,0.,53.,0.0000001049,53.,0.0000000956,53.,0.0000007519
53.5,0.,54.,0.0000001935,54.,0.0000001766,54.,0.0000011934
54.5,0.,55.,0.0000003504,55.,0.0000003205,55.,0.0000018752
55.5,0.,56.,0.0000006233,56.,0.0000005712,56.,0.0000029171
56.5,0.,57.,0.0000010891,57.,0.0000010001,57.,0.0000044928
57.5,0.,58.,0.0000018702,58.,0.0000017208,58.,0.0000068505
58.5,0.,59.,0.0000031573,59.,0.0000029108,59.,0.0000103414
59.5,0.,60.,0.0000052411,60.,0.0000048417,60.,0.0000154557
60.5,0.,61.,0.0000085578,61.,0.0000079214,61.,0.0000228687
61.5,0.,62.,0.0000137478,62.,0.0000127509,62.,0.0000335000
62.5,0.,63.,0.0000217349,63.,0.0000201992,63.,0.0000485843
63.5,0.,64.,0.0000338254,64.,0.0000314982,64.,0.0000697583
64.5,0.,65.,0.0000518317,65.,0.0000483621,65.,0.0000991617
65.5,0.,66.,0.0000782197,66.,0.0000731297,66.,0.0001395534
66.5,0.,67.,0.0001162805,67.,0.0001089309,67.,0.0001944398
67.5,0.0006666667,68.,0.000170319,68.,0.0001598728,68.,0.0002682121
68.5,0.0003333333,69.,0.0002458550,69.,0.0002312372,69.,0.0003662856
69.5,0.0003333333,70.,0.0003498212,70.,0.0003296795,70.,0.0004952332
70.5,0.0006666667,71.,0.0004907417,71.,0.0004634105,71.,0.0006629000
71.5,0.0013333333,72.,0.0006788684,72.,0.000642341,72.,0.0008784856
72.5,0.001,73.,0.0009262493,73.,0.0008781628,73.,0.0011525762
73.5,0.0006666667,74.,0.0012466982,74.,0.0011843378,74.,0.0014971076
74.5,0.003,75.,0.0016556374,75.,0.0015759651,75.,0.0019252395
75.5,0.002,76.,0.0021697855,76.,0.0020694993,76.,0.0024511216
76.5,0.0036666667,77.,0.0028066692,77.,0.0026822968,77.,0.0030895365
77.5,0.0026666667,78.,0.0035839486,78.,0.0034319781,78.,0.0038554065
78.5,0.004,79.,0.0045185577,79.,0.0043356048,79.,0.0047631624
79.5,0.0026666667,80.,0.0056256797,80.,0.0054086886,80.,0.0058259797
80.5,0.006,81.,0.0069175950,81.,0.0066640651,81.,0.0070549009
81.5,0.0073333333,82.,0.0084024596,82.,0.0081106872,82.,0.0084578745
82.5,0.0126666667,83.,0.0100830865,83.,0.0097524074,83.,0.0100387566
83.5,0.01,84.,0.0119558197,84.,0.011586835,84.,0.0117963318
84.5,0.0183333333,85.,0.0140095951,85.,0.0136043617,85.,0.0137234217
85.5,0.019,86.,0.0162252832,86.,0.0157874502,86.,0.0158061538
86.5,0.018,87.,0.0185754005,87.,0.0181102737,87.,0.0180234684
87.5,0.019,88.,0.0210242574,88.,0.0205387788,88.,0.0203469305
88.5,0.0216666667,89.,0.0235285851,89.,0.0230312168,89.,0.0227409083
89.5,0.0243333333,90.,0.0260386494,90.,0.0255391624,90.,0.0251631542
90.5,0.0313333333,91.,0.0284998264,91.,0.0280089953,91.,0.0275658076
91.5,0.0276666667,92.,0.0308545729,92.,0.0303837922,92.,0.0298968018
92.5,0.0366666667,93.,0.0330446946,93.,0.032605533,93.,0.0321016321
93.5,0.0393333333,94.,0.0350137834,94.,0.0346175018,94.,0.0341254088
94.5,0.0356666667,95.,0.0367096791,95.,0.0363667418,95.,0.0359150919
95.5,0.0316666667,96.,0.0380868019,96.,0.0378064095,96.,0.0374217825
96.5,0.0366666667,97.,0.0391082088,97.,0.0388978837,97.,0.0386029352
97.5,0.04,98.,0.0397472423,98.,0.0396124927,98.,0.0394243511
98.5,0.0393333333,99.,0.03998867,99.,0.0399327530,99.,0.0398618224
99.5,0.0463333333,100.,0.0398292485,100.,0.0398530465,100.,0.0399023171
100.5,0.0396666667,101.,0.0392776857,101.,0.0393797021,101.,0.0395446239
101.5,0.0403333333,102.,0.0383540183,102.,0.0385304897,102.,0.0387994129
102.5,0.0313333333,103.,0.0370884598,103.,0.037333575,103.,0.037688706
103.5,0.0353333333,104.,0.0355198081,104.,0.0358260158,104.,0.0362447968
104.5,0.0343333333,105.,0.0336935262,105.,0.0340519109,105.,0.0345086906
105.5,0.0316666667,106.,0.0316596239,106.,0.0320603233,106.,0.0325281722
106.5,0.027,107.,0.0294704743,107.,0.0299031125,107.,0.0303556272
107.5,0.0266666667,108.,0.0271786902,108.,0.0276328012,108.,0.0280457546
108.5,0.0246666667,109.,0.0248351723,109.,0.0253005923,109.,0.0256533106
109.5,0.0243333333,110.,0.0224874207,110.,0.0229546290,110.,0.0232310092
110.5,0.0243333333,111.,0.0201781719,111.,0.0206385686,111.,0.0208276899
111.5,0.0163333333,112.,0.0179444002,112.,0.0183905122,112.,0.0184868322
112.5,0.014,113.,0.0158166919,113.,0.0162423048,113.,0.0162454694
113.5,0.019,114.,0.013818979,114.,0.0142191972,114.,0.0141335220
114.5,0.0126666667,115.,0.0119685977,115.,0.0123398395,115.,0.0121735405
115.5,0.0103333333,116.,0.0102766232,116.,0.0106165595,116.,0.0103808228
116.5,0.0073333333,117.,0.008748422,117.,0.0090558706,117.,0.0087638517
117.5,0.007,118.,0.0073843601,118.,0.0076591483,118.,0.0073249832
118.5,0.006,119.,0.006180606,119.,0.0064234122,119.,0.0060613116
119.5,0.005,120.,0.0051299716,120.,0.0053421591,120.,0.0049656369
120.5,0.004,121.,0.0042227439,121.,0.0044061951,121.,0.0040274641
121.5,0.0026666667,122.,0.0034474666,122.,0.0036044264,122.,0.0032339758
